rank,College Name,Location,nces_id,state,address,phone_number,website,type,awards_offered,campus_housing,student_population,student_faculty_ratio,SAT Math,SAT R/W,Admission Rate,Admissions Deadline,Overall Grade,College Grade Card,Popular Majors,College Description,Avg Salary,Employment Rate,College Highlights
11,Yale University,New Haven,130794.0,CT,Woodbridge Hall New Haven Connecticut 06520,(203) 432-4771,www.yale.edu/,4-year Private not-for-profit,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practiceDoctor's degree - other,Yes,12060 (4703 undergraduate),4 to 1,740-800,720-780,94%,November 1,A+,"Academics : A+,Value : A+,Diversity : A+,Campus : A,Athletics : A-,Party Scene : A+,Professors : A+,Location : A,Dorms : A+,Campus Food : A,Student Life : A+,Safety : C+","Economics,Political Science and Government,History,Cellular Biology,Liberal Arts and Humanities,Information Science,Research and Experimental Psychology,English,International Relations,Statistics","Yale is best defined by the word and. Yale is a research university and a liberal arts college. Its scholars are driven by innovation and more than 300 years of tradition. Yale students excel in the arts, humanities, social sciences, sciences, and engineering at the highest levels. Students of all backgrounds, beliefs, identities, and interests join a global community that values a multifaceted approach to undergraduate education.","$83,200/ year
National avg salary is $33,028","92%
National is 83%","Colleges with the Best Professors in America:1 of 1,624,Best Colleges for History in America:1 of 899,Best Colleges for Anthropology and Sociology in America:2 of 759"
12,"University of California, Los Angeles",Los Angeles ,,,,,,,,,,,640-780,650-740,14%,,A+,"Academics : A+,Value : A+,Diversity : A+,Campus : A+,Athletics : A+,Party Scene : A+,Professors : A+,Location : A+,Dorms : A+,Campus Food : A+,Student Life : A+,Safety : B","Economics,Sociology,Political Science and Government,Psychology,Biology,Physiological Psychology,History,Computational and Applied Mathematics,English,Anthropology","UCLA is a highly rated public university located in Los Angeles, California. It is a large institution with an enrollment of 30,969 undergraduate students. Admissions is extremely competitive as the UCLA acceptance rate is 12%. Popular majors include Economics, Sociology, and Political Science and Government. Graduating 92% of students, UCLA alumni go on to earn a starting salary of $44,500.","$60,700/ year
National avg salary is $33,028","89%
National is 83%","Best College Campuses in America:1 of 1,419,Best College Food in America:1 of 1,392,Top Public Universities in America:1 of 691"
13,Johns Hopkins University,Baltimore ,162928.0,MD,3400 N Charles St Baltimore Maryland 21218-2688,(410) 516-8000,www.jhu.edu/,4-year Private not-for-profit,Two but less than 4 years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,28890 (6331 undergraduate),6 to 1,760-800,720-770,99%,November 1,A+,"Academics : A+,Value : A+,Diversity : A+,Campus : B,Athletics : C+,Party Scene : B,Professors : A+,Location : B+,Dorms : B,Campus Food : B-,Student Life : A-,Safety : B+","Public Health,Neuroscience and Neurobiology,Cellular Biology,Economics,Bioengineering and Biomedical Engineering,Mathematics,Information Science,Chemical Engineering,International Relations,Biology","140 years ago, we defined the model of the American research universitynow emulated around the globe.  To this day, were known for our groundbreaking discoveries, daring ideas, and positive impact through innovation. We support adventurous inquiries and interdisciplinary research with state-of-the-art  resources and our worldwide network of  accomplished scholars and thinkers.","$73,200/ year
National avg salary is $33,028","91%
National is 83%","Best Colleges for Public Health in America:1 of 245,Best Colleges for Biology in America:8 of 1,079,Best Colleges for English in America:8 of 890"
14,The University of Texas at Austin,Austin,228778.0,TX,110 Inner Campus Drive Austin Texas 78705,(512) 471-3434,www.utexas.edu/,4-year Public,Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,50476 (40048 undergraduate),17 to 1,600-750,610-720,32%,November 1,A+,"Academics : A+,Value : A+,Diversity : A,Campus : A-,Athletics : A+,Party Scene : A+,Professors : A,Location : A+,Dorms : C+,Campus Food : A,Student Life : A+,Safety : B-","Business,Biology,Economics,Information Science,Liberal Arts and Humanities,Psychology,Political Science and Government,Electrical Engineering,Finance,Biochemistry and Molecular Biology","UT Austin is a highly rated public university located in Austin, Texas. It is a large institution with an enrollment of 37,515 undergraduate students. Admissions is fairly competitive as the UT Austin acceptance rate is 32%. Popular majors include Business, Biology, and Economics. Graduating 86% of students, UT Austin alumni go on to earn a starting salary of $46,000.","$58,200/ year
National avg salary is $33,028","93%
National is 83%","Best Colleges for Communications in America:7 of 917,Best Colleges for Business in America:8 of 1,223,Best Colleges for Accounting and Finance in America:9 of 814"
15,New York University,New York City ,193900.0,NY,70 Washington Sq South New York New York 10012-1091,(212) 998-1212,www.nyu.edu/,4-year Private not-for-profit,Less than one year certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practiceDoctor's degree - other,Yes,52775 (27444 undergraduate),8 to 1,700-800,670-740,21%,November 1,A+,"Academics : A+,Value : A,Diversity : A+,Campus : B+,Athletics : C+,Party Scene : A+,Professors : A+,Location : A+,Dorms : B,Campus Food : A,Student Life : A+,Safety : B+","Liberal Arts and Humanities,Economics,Business,Nursing,Information Science,Cinematography and Video Production,Drama and Theatre Production,Psychology,Digital Communication and Media/Multimedia,Political Science and Government","NYU is the University without walls. We remove the boundary between your classroom & the real world to open limitless opportunities. Thats why NYU has become one of the most influential universities in the world with campuses in 15 major cities across the globe. Our global network directly serves our students by allowing a rich academic experience led by renowned faculty with accolades ranging from the Nobel Prize to Grammy Awards. But our community is more than a list of cities & awards. Since our beginning, weve been champions of diversity, access, & inclusion, creating one of the most diverse student bodies with no single ethnic majority & students from over 150 countries. NYU is for risk-takers; for the bold, the curious, the innovative, for those that see a problem & find the solution simply because we have to. We have produced some of the brightest minds, ground-breaking research, & most influential people capable of being comfortable anywhere & effective everywhere.","$61,900/ year
National avg salary is $33,028","91%
National is 83%","Best Colleges for Film and Photography in America:2 of 278,Best College Locations in America:3 of 1,634,Best Colleges for Performing Arts in America:3 of 555"
16,University of Wisconsin-Madison,Madison,240444.0,WI,500 Lincoln Dr Madison Wisconsin 53706-1380,(608) 263-2400,www.wisc.edu/,4-year Public,Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,44640 (32688 undergraduate),16 to 1,650-770,610-690,57%,,A+,"Academics : A,Value : A+,Diversity : A-,Campus : A,Athletics : A+,Party Scene : A+,Professors : A,Location : A,Dorms : B,Campus Food : A,Student Life : A+,Safety : B","Information Science,Economics,Biology,Psychology,Environmental Science,Mathematics,Public Health,Finance,Political Science and Government,Communications","Wisconsin is a highly rated public university located in Madison, Wisconsin. It is a large institution with an enrollment of 30,157 undergraduate students. Admissions is fairly competitive as the Wisconsin acceptance rate is 54%. Popular majors include Information Science, Economics, and Biology. Graduating 88% of students, Wisconsin alumni go on to earn a starting salary of $45,000.","$56,200/ year
National avg salary is $33,028","95%
National is 83%","Top Party Schools in America:3 of 1,612,Colleges with the Best Student Life in America:4 of 1,612,Best Colleges for Agricultural Sciences in America:10 of 142"
17,Purdue University,West Lafayette,,,,,,,,,,,600-740,590-690,67%,November 1,A+,"Academics : A,Value : A+,Diversity : A,Campus : A-,Athletics : A,Party Scene : A-,Professors : A+,Location : C+,Dorms : B,Campus Food : A,Student Life : A+,Safety : B+","Business,Computer Science,Mechanical Engineering,Industrial Engineering,Electrical Engineering,Finance,Computer Hardware Engineering,Mechanical Engineering Technician,Research and Experimental Psychology,Information Technology","Purdue is a highly rated public university located in Wabash Township, Indiana. It is a large institution with an enrollment of 32,606 undergraduate students. Admissions is fairly competitive as the Purdue acceptance rate is 60%. Popular majors include Business, Computer Science, and Mechanical Engineering. Graduating 82% of students, Purdue alumni go on to earn a starting salary of $44,800.","$55,100/ year
National avg salary is $33,028","95%
National is 83%","Best Colleges for Information Technology in America:7 of 238,Best Colleges for Agricultural Sciences in America:14 of 142,Top Public Universities in America:16 of 691"
18,Penn State University,University Park ,,,,,,,,,,,,,,,A+,"Academics : A,Value : A,Diversity : A,Campus : A,Athletics : A+,Party Scene : A+,Professors : A+,Location : A-,Dorms : B,Campus Food : A,Student Life : A+,Safety : B-","Information Science,Biology,Economics,Finance,Accounting,Computer and Information Systems Security,Business Support Services,Psychology,Mechanical Engineering,Public Relations",This is your chance. The one where you get to decide if youll just live in the future  or if youll run it. And Penn State is the place where you can take that chance. So get ready to run the future at Penn State. ,"$50,100/ year
National avg salary is $33,028","94%
National is 83%","Best Colleges for Information Technology in America:5 of 238,Best Greek Life Colleges in America:7 of 824,Colleges with the Best Student Life in America:9 of 1,612"
19,Princeton University,Princeton,186131.0,NJ,1 Nassau Hall Princeton New Jersey 08544-0070,(609) 258-3000,www.princeton.edu/,4-year Private not-for-profit,Less than one year certificateBachelor's degreeMaster's degreeDoctor's degree - research/scholarship,Yes,7853 (4774 undergraduate),4 to 1,740-800,710-770,89%,November 1,A+,"Academics : A+,Value : A+,Diversity : A+,Campus : A,Athletics : A-,Party Scene : B+,Professors : A+,Location : B,Dorms : A-,Campus Food : A,Student Life : A+,Safety : B+","Computer Science,Economics,Public Policy Analysis,Political Science and Government,Engineering,History,Ecology and Evolutionary Biology,Biochemistry and Molecular Biology,Mechanical Engineering,Electrical Engineering","Princeton is an elite private university located in Princeton, New Jersey. It is a mid-size institution with an enrollment of 5,328 undergraduate students. Admissions is extremely competitive as the Princeton acceptance rate is only 6%. Popular majors include Computer Science, Economics, and Public Policy Analysis. Graduating 98% of students, Princeton alumni go on to earn a starting salary of $60,800.","$74,700/ year
National avg salary is $33,028","87%
National is 83%","Best Colleges for Chemistry in America:2 of 651,Best Colleges for Public Policy in America:2 of 623,Best Colleges for History in America:3 of 899"
20,Carnegie Mellon University,Pittsburgh ,211440.0,PA,5000 Forbes Avenue Pittsburgh Pennsylvania 15213-3890,(412) 268-2000,www.cmu.edu/,4-year Private not-for-profit,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarship,Yes,13519 (6622 undergraduate),5 to 1,760-800,700-760,17%,November 1,A+,"Academics : A+,Value : A+,Diversity : A+,Campus : C+,Athletics : C+,Party Scene : B,Professors : A+,Location : A,Dorms : B-,Campus Food : C+,Student Life : A-,Safety : B","Computer Science,Electrical Engineering,Mechanical Engineering,Statistics,Business,Systems Science and Theory,Chemical Engineering,Mathematics,Bioengineering and Biomedical Engineering,Drama and Theatre Production","Carnegie Mellon University isnt just one of the worlds most renowned educational institutions  its also a hub for some of the most talented doers, dreamers and difference-makers on the planet. Carnegie Mellon is a private, internationally ranked research university with programs in areas ranging from science, technology and business to public policy, the humanities and the arts. Our community includes more than 14,000 students in the university's seven schools and colleges who benefit from a small student-to-faculty ratio and an education characterized by its focus on innovation, interdisciplinary collaboration, and implementing solutions for real world problems. Our commitment to diversity, equity and inclusion is woven into all aspects of our campus culture, and we cultivate a vibrant, welcoming environment where everyone is valued.","$83,600/ year
National avg salary is $33,028","91%
National is 83%","Best Colleges for Information Technology in America:1 of 238,Best Colleges for Design in America:2 of 419,Best Colleges for Computer Science in America:3 of 868"
21,University of Southern California,Los Angeles,123961.0,CA,University Park Los Angeles California 90089,(213) 740-2311,www.usc.edu/,4-year Private not-for-profit,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practiceDoctor's degree - other,Yes,46287 (19786 undergraduate),9 to 1,680-790,660-740,16%,December 1,A+,"Academics : A+,Value : A+,Diversity : A+,Campus : A+,Athletics : A+,Party Scene : A+,Professors : A+,Location : A-,Dorms : A-,Campus Food : A-,Student Life : A+,Safety : B-","Business,Biology,Communications,Computer Science,International Relations,Economics,Accounting,Psychology,Political Science and Government,Real Estate","USC is a highly rated private university located in Los Angeles, California. It is a large institution with an enrollment of 19,622 undergraduate students. Admissions is extremely competitive as the USC acceptance rate is 11%. Popular majors include Business, Biology, and Communications. Graduating 92% of students, USC alumni go on to earn a starting salary of $53,800.","$74,000/ year
National avg salary is $33,028","92%
National is 83%","Colleges with the Best Student Life in America:1 of 1,612,Best Colleges for Design in America:1 of 419,Best Colleges for Film and Photography in America:1 of 278"
22,University of Chicago,Chicago,144050.0,IL,5801 S Ellis Ave Chicago Illinois 60637,(773) 702-1234,www.uchicago.edu/,4-year Private not-for-profit,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,17834 (7056 undergraduate),5 to 1,770-800,730-770,99%,November 1,A+,"Academics : A+,Value : A+,Diversity : A+,Campus : B+,Athletics : C+,Party Scene : B,Professors : A+,Location : B-,Dorms : A,Campus Food : B,Student Life : A,Safety : C+","Economics,Mathematics,Public Policy Analysis,Biology,Political Science and Government,Computer Science,Philosophy,Statistics,History,Research and Experimental Psychology","A private university chartered in 1890 by John D. Rockefeller, the University of Chicago has been shaping higher education and the intellectual lives of undergraduates for more than a century. Boasting a 217-acre campus on the shores of Lake Michigan, UChicago has been home to 92 Nobel laureates, the largest number affiliated with any American university. UChicago scholars were the first to split the atom, to measure the speed of light, and to develop the field of sociology. The College is the largest academic unit of the university, which encompasses 11 graduate divisions and professional schools, including on-campus law, business, molecular engineering, and medical schools.","$68,100/ year
National avg salary is $33,028","92%
National is 83%","Best Colleges for Public Policy in America:3 of 623,Best Colleges for Economics in America:3 of 586,Best Colleges for Philosophy in America:4 of 458"
23,Arizona State University,Tempe ,,,,,,,,,,,550-670,550-650,88%,November 1,A,"Academics : A-,Value : A-,Diversity : A+,Campus : A-,Athletics : A+,Party Scene : A+,Professors : A,Location : A,Dorms : B+,Campus Food : A-,Student Life : A+,Safety : B-","Business Support Services,Business,Biology,Psychology,Finance,Liberal Arts and Humanities,Marketing,Management Sciences and Information Systems,Computer Science,Political Science and Government","Arizona State is a highly rated public university located in Tempe, Arizona in the Phoenix Area. It is a large institution with an enrollment of 41,182 undergraduate students. The Arizona State acceptance rate is 86%. Popular majors include Business Support Services, Business, and Biology. Graduating 63% of students, Arizona State alumni go on to earn a starting salary of $38,300.","$47,700/ year
National avg salary is $33,028","91%
National is 83%","Best Colleges for Education in America:38 of 921,Best College Athletics in America:43 of 1,422,Best Big Colleges in America:46 of 128"
24,University of Florida,Gainesville,134130.0,FL,Tigert Hall Gainesville Florida 32611,(352) 392-3261,www.ufl.edu/,4-year Public,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,53372 (34931 undergraduate),17 to 1,640-740,650-720,31%,November 1,A+,"Academics : A+,Value : A+,Diversity : A,Campus : A-,Athletics : A+,Party Scene : A+,Professors : A+,Location : B+,Dorms : B-,Campus Food : B,Student Life : A+,Safety : B-","Biology,Psychology,Political Science and Government,Business,Mechanical Engineering,Finance,Liberal Arts and Humanities,Public Health,Economics,Nursing","Florida is a highly rated public university located in Gainesville, Florida. It is a large institution with an enrollment of 32,157 undergraduate students. Admissions is fairly competitive as the Florida acceptance rate is 37%. Popular majors include Biology, Psychology, and Political Science and Government. Graduating 88% of students, Florida alumni go on to earn a starting salary of $42,600.","$56,000/ year
National avg salary is $33,028","92%
National is 83%","Best College Athletics in America:1 of 1,422,Best Colleges for Student Athletes in America:4 of 1,400,Best Colleges for Sports Management in America:4 of 435"
25,Michigan State University,East Lansing,171100.0,MI,East Lansing Michigan 48824-1046,(517) 355-1855,www.msu.edu/,4-year Public,One but less than two years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,49695 (38491 undergraduate),16 to 1,550-660,550-640,76%,November 1,A,"Academics : A,Value : A,Diversity : A,Campus : A,Athletics : A+,Party Scene : A+,Professors : A+,Location : B+,Dorms : B+,Campus Food : A,Student Life : A+,Safety : B-","Advertising,Biology,Communications,Logistics and Supply Chain Management,Kinesiology and Exercise Science,Finance,Economics,Psychology,Mechanical Engineering,Accounting","Michigan State is one of the world's leading research universities. With highly ranked programs and exceptional professors, we educate students who advance the common good with uncommon will.","$53,600/ year
National avg salary is $33,028","95%
National is 83%","Best College Athletics in America:14 of 1,422,Best Colleges for Communications in America:15 of 917,Top Party Schools in America:19 of 1,612"
