nces_id,College Name,state,address,phone_number,website,type,awards_offered,campus_housing,student_population,student_faculty_ratio
138600,Agnes Scott College,GA,141 E. College Ave. Decatur Georgia 30030-3770,(404) 471-6000,www.agnesscott.edu/,4-year Private not-for-profit,Bachelor's degreePostbaccalaureate certificateMaster's degree,Yes,1080 (1014 undergraduate),11 to 1
134811,AI Miami International University of Art and Design,FL,1501 Biscayne Boulevard Suite 100 Miami Florida 33132-1418,(305) 428-5700,www.artinstitutes.edu/miami/,4-year Private for-profit,One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,No,934 (874 undergraduate),17 to 1
100654,Alabama A & M University,AL,4900 Meridian Street Normal Alabama 35762,(256) 372-5000,www.aamu.edu/,4-year Public,Bachelor's degreeMaster's degreePost-master's certificateDoctor's degree - research/scholarship,Yes,5977 (5093 undergraduate),18 to 1
100724,Alabama State University,AL,915 S Jackson Street Montgomery Alabama 36104-0271,(334) 229-4100,www.alasu.edu/,4-year Public,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,4072 (3614 undergraduate),15 to 1
102580,Alaska Bible College,AK,248 E Elmwood Ave Palmer Alaska 99645,(907) 745-3201,www.akbible.edu/,4-year Private not-for-profit,One but less than two years certificateAssociate's degreeTwo but less than 4 years certificateBachelor's degree,Yes,40 (all undergraduate),6 to 1
102669,Alaska Pacific University,AK,4101 University Dr Anchorage Alaska 99508,(907) 561-1266,www.alaskapacific.edu/,4-year Private not-for-profit,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - professional practice,Yes,493 (312 undergraduate),8 to 1
188526,Albany College of Pharmacy and Health Sciences,NY,106 New Scotland Avenue Albany New York 12208-3492,(518) 694-7200,www.acphs.edu/,4-year Private not-for-profit,Bachelor's degreeMaster's degreeDoctor's degree - professional practice,Yes,1118 (686 undergraduate),7 to 1
138716,Albany State University,GA,504 College Drive Albany Georgia 31705,(229) 500-3500,www.asurams.edu/,4-year Public,One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degreePost-master's certificate,Yes,6509 (6102 undergraduate),19 to 1
128498,Albertus Magnus College,CT,700 Prospect St New Haven Connecticut 06511-1189,(203) 773-8550,www.albertus.edu/,4-year Private not-for-profit,Less than one year certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificate,Yes,1384 (1088 undergraduate),14 to 1
168546,Albion College,MI,611 E Porter St Albion Michigan 49224,(517) 629-1000,www.albion.edu/,4-year Private not-for-profit,Bachelor's degree,Yes,1506 (all undergraduate),12 to 1
132842,Albizu University-Miami,FL,2173 N.W. 99th Avenue Miami Florida 33172-2209,(305) 593-1223,www.albizu.edu/,4-year Private not-for-profit,One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degreeDoctor's degree - research/scholarship,No,802 (146 undergraduate),12 to 1
210571,Albright College,PA,1621 N. 13th St. Reading Pennsylvania 19612-5234,(610) 921-2381,www.albright.edu/home/,4-year Private not-for-profit,One but less than two years certificateTwo but less than 4 years certificateBachelor's degreePostbaccalaureate certificateMaster's degree,Yes,1584 (1539 undergraduate),12 to 1
175342,Alcorn State University,MS,1000 ASU Dr Ste 359 Alcorn State Mississippi 39096-7500,(601) 877-6100,www.alcorn.edu/,4-year Public,Associate's degreeBachelor's degreeMaster's degreePost-master's certificateDoctor's degree - professional practice,Yes,3230 (2729 undergraduate),16 to 1
237118,Alderson Broaddus University,WV,101 College Hill Drive Philippi West Virginia 26416-2035,(304) 457-1700,www.ab.edu/,4-year Private not-for-profit,Associate's degreeBachelor's degreeMaster's degree,Yes,863 (766 undergraduate),14 to 1
188641,Alfred University,NY,One Saxon Drive Alfred New York 14802-1205,(607) 871-2111,www.alfred.edu/,4-year Private not-for-profit,Bachelor's degreeMaster's degreePost-master's certificateDoctor's degree - research/scholarship,Yes,2187 (1593 undergraduate),11 to 1
156189,Alice Lloyd College,KY,100 Purpose Rd Pippa Passes Kentucky 41844,(606) 368-6000,www.alc.edu/,4-year Private not-for-profit,Bachelor's degree,Yes,569 (all undergraduate),21 to 1
210669,Allegheny College,PA,520 N Main St Meadville Pennsylvania 16335-3902,(814) 332-3100,allegheny.edu/,4-year Private not-for-profit,Bachelor's degree,Yes,1667 (all undergraduate),9 to 1
200873,Allegheny Wesleyan College,OH,2161 Woodsdale Rd Salem Ohio 44460-9598,(330) 337-6403 x170,awc.edu/,4-year Private not-for-profit,Less than one year certificateAssociate's degreeBachelor's degree,Yes,67 (all undergraduate),8 to 1
152798,Allen College,IA,1990 Heath St Waterloo Iowa 50703-1999,(319) 226-2000,www.allencollege.edu/,4-year Private not-for-profit,One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - other,No,678 (374 undergraduate),11 to 1
217624,Allen University,SC,1530 Harden Street Columbia South Carolina 29204,(803) 376-5700,www.allenuniversity.edu/,4-year Private not-for-profit,Bachelor's degreeMaster's degree,Yes,705 (656 undergraduate),15 to 1
110468,Alliant International University-San Diego,CA,10455 Pomerado Road San Diego California 92131,(866) 825-5426,www.alliant.edu/,4-year Private for-profit,Less than one year certificateOne but less than two years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,No,3429 (431 undergraduate),6 to 1
168591,Alma College,MI,614 W Superior Alma Michigan 48801-1599,(989) 463-7111,alma.edu/,4-year Private not-for-profit,Bachelor's degree,Yes,1435 (all undergraduate),13 to 1
168607,Alpena Community College,MI,665 Johnson St Alpena Michigan 49707,(989) 356-9021,www.alpenacc.edu/,4-year primarily associate's Public,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree,Yes,1436 (all undergraduate),13 to 1
210775,Alvernia University,PA,400 Saint Bernardine St Reading Pennsylvania 19607-1799,(610) 796-8200,www.alvernia.edu/,4-year Private not-for-profit,Associate's degreeBachelor's degreeMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,2560 (2045 undergraduate),14 to 1
238193,Alverno College,WI,3400 S 43rd  St Milwaukee Wisconsin 53234-3922,(414) 382-6000,www.alverno.edu/,4-year Private not-for-profit,Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - professional practice,Yes,1876 (1099 undergraduate),10 to 1
222628,Amberton University,TX,1700 Eastgate Dr Garland Texas 75041-5595,(972) 279-6511,www.amberton.edu/,4-year Private not-for-profit,Bachelor's degreeMaster's degree,No,1103 (186 undergraduate),20 to 1
457527,Ambria College of Nursing,IL,5210 Trillium Blvd Hoffman Estates Illinois 60192,(847) 397-0300 x2271,ambria.edu/,4-year primarily associate's Private for-profit,One but less than two years certificateAssociate's degreeBachelor's degree,No,229 (all undergraduate),8 to 1
490081,America Evangelical University,CA,1818 South Western Avenue Suite 409 Los Angeles California 90006-5860,(323) 643-0301,www.aeu.edu/,4-year Private not-for-profit,Associate's degreeBachelor's degreeMaster's degreeDoctor's degree - research/scholarship,Yes,165 (65 undergraduate),6 to 1
142887,American Academy of Art,IL,332 S Michigan Ave Chicago Illinois 60604-4302,(312) 461-0600,www.aaart.edu/,4-year Private not-for-profit,Bachelor's degree,No,169 (all undergraduate),7 to 1
219505,American Baptist College,TN,1800 Baptist World Ctr Dr Nashville Tennessee 37207-9980,(615) 256-1463,www.abcnash.edu/,4-year Private not-for-profit,Associate's degreeBachelor's degree,Yes,55 (all undergraduate),7 to 1
457688,American Business and Technology University,MO,All programs offered completely via Distance education1018 W St Maartens Dr St Joseph Missouri 64506,(816) 279-7000,abtu.edu/,4-year primarily associate's Private for-profit,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,No,353 (342 undergraduate),14 to 1
449889,American College of Education,IN,All programs offered completely via Distance education101 West Ohio Street Suite 1200 Indianapolis Indiana 46204,(800) 280-0307,www.ace.edu/,4-year Private for-profit,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarship,No,8112 (85 undergraduate),10 to 1
443599,American College of Healthcare Sciences,OR,All programs offered completely via Distance education5005 S. Macadam Ave Portland Oregon 97239,(503) 244-0726 x103,www.achs.edu/,4-year primarily associate's Private for-profit,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,No,856 (602 undergraduate),19 to 1
485698,American College of the Building Arts,SC,649 Meeting Street Charleston South Carolina 29403-4223,(843) 577-5245,acba.edu/,4-year Private not-for-profit,Associate's degreeBachelor's degree,No,93 (all undergraduate),6 to 1
445027,American InterContinental University,AZ,All programs offered completely via Distance education2200 E Germann Rd Chandler Arizona 85286,(877) 701-3800,www.aiuniv.edu/,4-year Private for-profit,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarship,No,15415 (12830 undergraduate),43 to 1
438586,American InterContinental University-Atlanta,GA,6600 Peachtree Dunwoody Road 500 Embassy Row Atlanta Georgia 30328,(404) 965-6500 x8118,www.aiuniv.edu/online-campus/campus-locations/atlanta,4-year Private for-profit,Less than one year certificateAssociate's degreeBachelor's degreeMaster's degree,No,1465 (1312 undergraduate),13 to 1
445133,American InterContinental University-Houston,TX,9999 Richmond Avenue Houston Texas 77042,(832) 201-3600,www.aiuniv.edu/online-campus/campus-locations/houston,4-year Private for-profit,Less than one year certificateAssociate's degreeBachelor's degreeMaster's degree,No,221 (190 undergraduate),13 to 1
164447,American International College,MA,1000 State Street Springfield Massachusetts 01109,(413) 737-7000,www.aic.edu/,4-year Private not-for-profit,Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,2612 (1381 undergraduate),18 to 1
142957,American Islamic College,IL,640 W Irving Park RD Chicago Illinois 60613,(773) 281-4700,www.aicusa.edu/,4-year Private not-for-profit,Bachelor's degreeMaster's degree,Yes,16 (8 undergraduate),2 to 1
116846,American Jewish University,CA,15600 Mulholland Dr Los Angeles California 90077-1519,(310) 476-9777,www.aju.edu/,4-year Private not-for-profit,Less than one year certificateBachelor's degreeMaster's degree,Yes,93 (37 undergraduate),4 to 1
475714,American Medical Academy,FL,12215 SW 112 Street Miami Florida 33186-4830,(305) 271-6555,www.ama.edu/,4-year primarily associate's Private for-profit,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree,No,527 (all undergraduate),6 to 1
461263,American Medical Sciences Center,CA,225 West Broadway Suite 410 Glendale California 91204-5108,(818) 240-6900 x100,www.amsc.edu/,4-year primarily associate's Private for-profit,One but less than two years certificateAssociate's degreeBachelor's degree,No,52 (all undergraduate),10 to 1
188854,American Musical and Dramatic Academy,NY,211 West 61st Street New York New York 10023,(212) 787-5300 x3331,www.amda.edu/,4-year primarily associate's Private not-for-profit,Associate's degreeTwo but less than 4 years certificateBachelor's degreeMaster's degree,Yes,1399 (1395 undergraduate),5 to 1
232797,American National University,VA,1813 East Main Street Salem Virginia 24153,(540) 986-1800,www.an.edu/locations/,4-year primarily associate's Private for-profit,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,No,931 (810 undergraduate),39 to 1
157021,American National University-Pikeville,KY,50 National College Boulevard Pikeville Kentucky 41501-1520,(859) 253-0621,www.an.edu/locations/,4-year primarily associate's Private for-profit,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree,No,210 (all undergraduate),19 to 1
449339,American Public University System,WV,All programs offered completely via Distance education111 W Congress St Charles Town West Virginia 25414,(877) 468-6268,www.apus.edu/,4-year Private for-profit,Less than one year certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarship,No,50047 (40362 undergraduate),23 to 1
460738,American Sentinel University,CO,All programs offered completely via Distance education10065 E. Harvard Ave Denver Colorado 80231,(303) 991-1575,www.americansentinel.edu/,4-year Private for-profit,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarship,No,2761 (1180 undergraduate),11 to 1
131159,American University,DC,4400 Massachusetts Ave NW Washington District of Columbia 20016-8001,(202) 885-1000,www.american.edu/,4-year Private not-for-profit,Less than one year certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,14001 (7953 undergraduate),11 to 1
433004,American University of Health Sciences,CA,1600 East Hill St Signal Hill California 90755-3612,(562) 988-2278 x2001,www.auhs.edu/,4-year Private for-profit,One but less than two years certificateBachelor's degreeMaster's degreeDoctor's degree - professional practice,No,408 (323 undergraduate),16 to 1
447263,AmeriTech College-Draper,UT,12257 South Business Park Drive-Ste 100 Draper Utah 84020-6545,(801) 816-1444,www.ameritech.edu/,4-year primarily associate's Private for-profit,Associate's degreeBachelor's degreeMaster's degree,No,1429 (1309 undergraduate),13 to 1
164465,Amherst College,MA,Boltwood Avenue Amherst Massachusetts 01002-5000,(413) 542-2000,www.amherst.edu/,4-year Private not-for-profit,Bachelor's degree,Yes,1745 (all undergraduate),7 to 1
100690,Amridge University,AL,All programs offered completely via Distance education1200 Taylor Rd Montgomery Alabama 36117-3553,(334) 387-3877 x7550,www.amridgeuniversity.edu/,4-year Private not-for-profit,Associate's degreeBachelor's degreeMaster's degreeDoctor's degree - research/scholarship,No,775 (298 undergraduate),13 to 1
150066,Anderson University,IN,1100 E 5th St Anderson Indiana 46012-3495,(765) 649-9071,anderson.edu/,4-year Private not-for-profit,Associate's degreeBachelor's degreeMaster's degreeDoctor's degree - research/scholarship,Yes,1406 (1205 undergraduate),8 to 1
217633,Anderson University,SC,316 Boulevard Anderson South Carolina 29621-4035,(864) 231-2000,www.andersonuniversity.edu/,4-year Private not-for-profit,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practiceDoctor's degree - other,Yes,3848 (3083 undergraduate),16 to 1
138761,Andrew College,GA,501College St Cuthbert Georgia 39840-5550,(229) 732-2171,www.andrewcollege.edu/,4-year primarily associate's Private not-for-profit,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree,Yes,301 (all undergraduate),8 to 1
168740,Andrews University,MI,4150 Administration Drive Room 136 Berrien Springs Michigan 49104,(800) 253-2874,www.andrews.edu/,4-year Private not-for-profit,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - other,Yes,3162 (1579 undergraduate),10 to 1
457299,Angeles College,CA,3440 Wilshire Blvd Ste 310 Los Angeles California 90010,(213) 487-2211,www.angelescollege.edu/,4-year primarily associate's Private for-profit,Less than one year certificateOne but less than two years certificateTwo but less than 4 years certificateBachelor's degreeMaster's degree,No,303 (298 undergraduate),25 to 1
222831,Angelo State University,TX,2601 W. Avenue N San Angelo Texas 76909,(325) 942-2555,www.angelo.edu/,4-year Public,Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - professional practice,Yes,10775 (9107 undergraduate),21 to 1
164492,Anna Maria College,MA,50 Sunset Lane Paxton Massachusetts 01612-1198,(508) 849-3300,www.annamaria.edu/,4-year Private not-for-profit,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificate,Yes,1492 (1126 undergraduate),12 to 1
109350,Antelope Valley College,CA,3041 West  Ave K Lancaster California 93536-5426,(661) 722-6300,www.avc.edu/,4-year primarily associate's Public,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree,No,12057 (all undergraduate),24 to 1
483018,Antioch College,OH,1 Morgan Pl Yellow Springs Ohio 45387,(937) 319-6082,antiochcollege.edu/,4-year Private not-for-profit,Bachelor's degree,Yes,116 (all undergraduate),7 to 1
458113,Antioch College AG,VA,1705 Todds Ln Hampton Virginia 23666,(757) 826-1883 x236,antiochcollegeag.edu/,4-year Private not-for-profit,One but less than two years certificateAssociate's degreeBachelor's degree,No,35 (all undergraduate),5 to 1
485908,Antioch University Online,OH,All programs offered completely via Distance education900 Dayton Street Yellow Springs Ohio 45387,(937) 769-1352,online.antioch.edu/,4-year Private not-for-profit,Bachelor's degreeMaster's degree,No,257 (171 undergraduate),7 to 1
245838,Antioch University-Los Angeles,CA,400 Corporate Pointe Culver City California 90230-7615,(310) 578-1080,www.antiochla.edu/,4-year Private not-for-profit,Bachelor's degreePostbaccalaureate certificateMaster's degree,No,924 (169 undergraduate),5 to 1
245892,Antioch University-Midwest,OH,900 Dayton St Yellow Springs Ohio 45387,(937) 769-1800,midwest.antioch.edu/,4-year Private not-for-profit,Bachelor's degreePostbaccalaureate certificateMaster's degree,No,,
245847,Antioch University-Santa Barbara,CA,602 Anacapa Street Santa Barbara California 93101,(805) 962-8179,www.antiochsb.edu/,4-year Private not-for-profit,Bachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - professional practice,No,276 (66 undergraduate),7 to 1
245883,Antioch University-Seattle,WA,2326 6th Ave Seattle Washington 98121-1814,(206) 441-5352,www.antiochseattle.edu/,4-year Private not-for-profit,Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - professional practice,No,735 (99 undergraduate),3 to 1
237136,Appalachian Bible College,WV,161 College Drive Mount Hope West Virginia 25880-9557,(304) 877-6428,abc.edu/,4-year Private not-for-profit,One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,Yes,225 (221 undergraduate),7 to 1
197869,Appalachian State University,NC,287 Rivers St Boone North Carolina 28608,(828) 262-2000,www.appstate.edu/,4-year Public,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarship,Yes,20023 (18061 undergraduate),16 to 1
168786,Aquinas College,MI,1700 Fulton St. E Grand Rapids Michigan 49506-1801,(616) 632-8900,www.aquinas.edu/,4-year Private not-for-profit,Associate's degreeBachelor's degreeMaster's degree,Yes,1517 (1372 undergraduate),11 to 1
126289,Arapahoe Community College,CO,5900 S. Santa Fe Dr. Littleton Colorado 80160-9002,(303) 797-4222,www.arapahoe.edu/,4-year primarily associate's Public,One but less than two years certificateAssociate's degreeBachelor's degree,No,12001 (all undergraduate),23 to 1
211088,Arcadia University,PA,450 S Easton Rd Glenside Pennsylvania 19038-3295,(215) 572-2900,www.arcadia.edu/,4-year Private not-for-profit,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,3300 (2014 undergraduate),11 to 1
105899,Arizona Christian University,AZ,1 W. Firestorm Way Glendale Arizona 85306-3216,(602) 489-5300,arizonachristian.edu/,4-year Private not-for-profit,One but less than two years certificateAssociate's degreeBachelor's degree,Yes,925 (all undergraduate),12 to 1
495439,Arizona College of Nursing-Fort Lauderdale,FL,600 Corporate Drive Suite 200 Fort Lauderdale Florida 33334-3637,(855) 706-8382,www.arizonacollege.edu/,4-year Private for-profit,Bachelor's degree,No,124 (all undergraduate),20 to 1
487375,Arizona College of Nursing-Las Vegas,NV,2320 South Rancho Drive Las Vegas Nevada 89102-4512,(855) 706-8382,www.arizonacollege.edu/,4-year Private for-profit,Bachelor's degree,No,746 (all undergraduate),20 to 1
495457,Arizona College of Nursing-Phoenix,AZ,16404 North Black Canyon Highway Phoenix Arizona 85053-4058,(855) 706-8382,www.arizonacollege.edu/,4-year Private for-profit,Bachelor's degree,No,85 (all undergraduate),20 to 1
495420,Arizona College of Nursing-Tampa,FL,1411 N West Shore Blvd Suite 200 Tampa Florida 33607,(855) 706-8382,www.arizonacollege.edu/,4-year Private for-profit,Bachelor's degree,No,143 (all undergraduate),20 to 1
494171,Arizona College of Nursing-Tempe,AZ,1620 West Fountainhead Parkway Suite 110 Tempe Arizona 85282-1840,(855) 706-8382,www.arizonacollege.edu/,4-year Private for-profit,Bachelor's degree,No,931 (all undergraduate),20 to 1
495448,Arizona College of Nursing-Tucson,AZ,300 South Craycroft Road Suite 300 Tucson Arizona 85711-4574,(855) 706-8382,www.arizonacollege.edu/,4-year Private for-profit,Bachelor's degree,No,263 (all undergraduate),20 to 1
494162,Arizona College-Dallas,TX,8330 LBJ Freeway Suite 100 Dallas Texas 75243-1200,(855) 706-8382,www.arizonacollege.edu/,4-year Private for-profit,Bachelor's degree,No,177 (all undergraduate),20 to 1
104151,Arizona State University Campus Immersion,AZ,University Drive and Mill Avenue Tempe Arizona 85287,(855) 278-5080,www.asu.edu/,4-year Public,Less than one year certificateOne but less than two years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,74795 (63124 undergraduate),18 to 1
483124,Arizona State University Digital Immersion,AZ,All programs offered completely via Distance education1475 N Scottsdale Rd Scottsdale Arizona 85257,(855) 278-5080,www.asu.edu/,4-year Public,Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarship,No,53993 (40485 undergraduate),26 to 1
106306,Arkansas Baptist College,AR,1600 Dr. Martin Luther King Jr. Drive Little Rock Arkansas 72202-6068,(501) 420-1200,www.arkansasbaptist.edu/,4-year primarily associate's Private not-for-profit,Associate's degreeBachelor's degree,Yes,468 (all undergraduate),22 to 1
106458,Arkansas State University,AR,2105 E. Aggie Road Jonesboro Arkansas 72401,(870) 972-2100,www.astate.edu/,4-year Public,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,13106 (8486 undergraduate),14 to 1
106467,Arkansas Tech University,AR,Administration Bldg 200 1509 N Boulder Ave Russellville Arkansas 72801-2222,(844) 804-2628,www.atu.edu/,4-year primarily associate's Public,Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarship,Yes,10829 (10110 undergraduate),17 to 1
222877,Arlington Baptist University,TX,3001 W Division Arlington Texas 76012-3425,(817) 461-8741,abu.edu/,4-year Private not-for-profit,Bachelor's degreeMaster's degree,Yes,160 (158 undergraduate),14 to 1
201061,Art Academy of Cincinnati,OH,1212 Jackson Street Cincinnati Ohio 45202-1706,(513) 562-6262,www.artacademy.edu/,4-year Private not-for-profit,Associate's degreeBachelor's degreeMaster's degree,Yes,235 (227 undergraduate),9 to 1
109651,Art Center College of Design,CA,1700 Lida St Pasadena California 91103,(626) 396-2200,www.artcenter.edu/,4-year Private not-for-profit,Bachelor's degreeMaster's degree,No,2182 (1912 undergraduate),8 to 1
404994,ASA College,NY,151 Lawrence Street Brooklyn New York 11201-9805,(718) 522-9073,www.asa.edu/,4-year primarily associate's Private for-profit,One but less than two years certificateAssociate's degreeBachelor's degree,Yes,2965 (all undergraduate),11 to 1
156213,Asbury University,KY,1 Macklem Dr Wilmore Kentucky 40390-1198,(859) 858-3511,www.asbury.edu/,4-year Private not-for-profit,Associate's degreeBachelor's degreeMaster's degree,Yes,1741 (1492 undergraduate),12 to 1
154022,Ashford University,CA,All programs offered completely via Distance education8620 Spectrum Center Boulevard San Diego California 92123,(866) 711-1700,www.ashford.edu/,4-year Private for-profit,Associate's degreeBachelor's degreeMaster's degreeDoctor's degree - research/scholarship,No,31115 (25425 undergraduate),15 to 1
201104,Ashland University,OH,401 College Avenue Ashland Ohio 44805,(800) 882-1548,www.ashland.edu/,4-year Private not-for-profit,Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,Yes,4447 (3148 undergraduate),16 to 1
454829,Aspen University,CO,1660 South Albion Street Suite 525 Denver Colorado 80222,(303) 333-4224,www.aspen.edu/,4-year Private for-profit,Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarship,No,9563 (6399 undergraduate),8 to 1
188942,Associated Beth Rivkah Schools,NY,310 Crown Street Brooklyn New York 11225-0000,(718) 735-0400,dhl.bethrivkah.edu/,4-year primarily associate's Private not-for-profit,Less than one year certificateAssociate's degreeBachelor's degree,No,259 (all undergraduate),19 to 1
164562,Assumption University,MA,500 Salisbury St Worcester Massachusetts 01609-1296,(508) 767-7000,www.assumption.edu/,4-year Private not-for-profit,Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificate,Yes,2448 (2027 undergraduate),13 to 1
100812,Athens State University,AL,300 N Beaty St Athens Alabama 35611,(256) 233-8100,www.athens.edu/,4-year Public,Less than one year certificateBachelor's degreeMaster's degree,No,2867 (2688 undergraduate),15 to 1
444325,ATI College-Norwalk,CA,15141 Whittier Blvd Suite 420 Whitter California 90603-0000,(562) 864-0506,www.ati.edu/,4-year primarily associate's Private for-profit,One but less than two years certificateTwo but less than 4 years certificateBachelor's degree,No,83 (all undergraduate),20 to 1
